date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.028000	2.117178E-1	4.567338E-1	6.216564E-2
0.028063	1.916344E-1	4.892791E-1	6.345955E-2
0.028125	1.765719E-1	4.191815E-1	6.345955E-2
0.028188	1.640197E-1	5.493628E-1	6.410651E-2
0.028250	1.439363E-1	6.044395E-1	6.345955E-2
0.028313	1.238529E-1	6.344814E-1	6.216564E-2
0.028375	1.037695E-1	6.645232E-1	6.216564E-2
0.028438	8.619655E-2	6.920616E-1	6.216564E-2
0.028500	6.360272E-2	7.296139E-1	6.216564E-2
0.028563	4.602974E-2	7.922011E-1	6.087172E-2
0.028625	2.594634E-2	8.973475E-1	6.087172E-2
